companyid,isin,companyname,hocountryname,sector,directorid,directorname,rolename,datestartrole,dateendrole_clean,annualreportdate,annualreportyear,currency,totalcompensation,fx_rate_avg_to_eur,totalcompensation_eur,log_totalcompensation_eur,ceo_turnover,turnover_year,turnover_year_event,num_ceo_turnovers,ceo_turnover_dummy,first_turnover_year,treated_firm,event_time,post_turnover,event_window_3yr,event_window_5yr,gvkey,datadate,curcd,at,sale,ebit,dltt,nicon,emp,cshoi,at_eur,sale_eur,ebit_eur,dltt_eur,nicon_eur,close_eur,market_cap_eur,roa,ebit_margin,leverage,log_assets_eur_nominal,log_market_cap_eur_nominal,age,gender,econiso,cpi_proxy_econiso,annual_avg_cpi,annual_avg_cpi_2015,annual_avg_cpi_index_2015,real_totalcompensation_eur_2015,real_at_eur_2015,real_sale_eur_2015,real_ebit_eur_2015,real_dltt_eur_2015,real_nicon_eur_2015,real_market_cap_eur_2015,log_real_totalcompensation_eur_2015,log_real_assets_eur_2015,log_real_market_cap_eur_2015,w_real_totalcompensation_eur_2015,log_w_real_pay,median_exec_pay_eur,n_exec_in_ratio,pay_ratio,w_pay_ratio,log_pay_dispersion,year,log_assets
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,14884.0,Jörgen Centerman,President/CEO,2000-12-31,2002-09-05,2001-12-01,2001,USD,1787.0,1.1176800012503112,1997.2941622343062,7.599548624638189,0,2000,,0,0,2002.0,1,-1.0,0,1,1,210418,2001-12-31,USD,32344.0,23726.0,466.0,5043.0,-130.0,156.865,1113.133,36150.241960440064,26518.075709664885,520.8388805826451,5636.46024630532,-145.29840016254045,,,-0.0040192926045016075,0.01964090027817584,0.15591763541924314,10.495438920799367,,77,M,CHE,CHE,93.0786,98.6186,94.38239845221895,2116.1722895243392,38301.88949769179,28096.420672218504,551.8389965967219,5971.9400425692465,-153.94650119651038,,7.657364211934058,10.553254508095238,,2116.1722895243392,7.657364211934058,,,,,,2001,10.553254508095238
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,11152.0,Juergen Dormann,Chairman/President/CEO,2002-09-05,2004-12-31,2002-12-01,2002,USD,1419.0,1.060607873130165,1505.002571971704,7.316549886132814,1,2002,2002.0,1,1,2002.0,1,0.0,1,1,1,210418,2002-12-31,USD,29533.0,18295.0,598.0,5376.0,97.0,139.051,1113.179,31322.93231715316,19403.82103891637,634.2435081318387,5701.827925947767,102.87896369362599,,,0.003284461449903498,0.032686526373326044,0.18203365726475468,10.352105770152424,,86,M,CHE,CHE,93.6769,98.6186,94.98907913922932,1584.395370088556,32975.29842482406,20427.423041416587,667.7015019823515,6002.614171667427,108.30609647539814,,7.3679581435575265,10.403514027577137,,1584.395370088556,7.3679581435575265,1070.1533439883365,3.0,1.4063429137760157,1.4063429137760157,0.3409926568064336,2002,10.403514027577137
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,11152.0,Juergen Dormann,Chairman/President/CEO,2002-09-05,2004-12-31,2003-12-01,2003,USD,2414.0,0.8850899318486187,2136.6070954825655,7.666974380428563,0,2002,,0,0,2002.0,1,1.0,1,1,1,210418,2003-12-31,USD,30413.0,18795.0,656.0,6290.0,86.0,116.464,2028.405,26918.240097312042,16635.26526909479,580.6189952926939,5567.215671327812,76.1177341389812,,,0.0028277381382961235,0.034902899707368984,0.2068194522079374,10.200559406336021,,86,M,CHE,CHE,94.27479999999998,98.6186,95.59535422323981,2235.053275175943,28158.52330485748,17401.750748521896,607.3715611082928,5823.730364895063,79.62493026724569,,7.7120203435313375,10.245605369438795,,2235.053275175943,7.7120203435313375,881.9921170871486,4.0,2.422478675363773,2.422478675363773,0.8847912620046272,2003,10.245605369438795
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,11152.0,Juergen Dormann,Chairman/President/CEO,2002-09-05,2004-12-31,2004-12-01,2004,USD,3383.0,0.8049268232023707,2723.0674428936204,7.909514260231022,0,2002,,0,0,2002.0,1,2.0,1,1,1,210418,2004-12-31,USD,24677.0,20721.0,1087.0,4901.0,448.0,102.537,2028.405,19863.179216164903,16678.888703576325,874.955456820977,3944.946360514819,360.6072167946621,,,0.01815455687482271,0.05245885816321606,0.19860598938282611,9.896623006165397,,86,M,CHE,CHE,95.0317,98.6186,96.36285649968667,2825.8475742699416,20612.89996756114,17308.42080592594,907.9799920873267,4093.8453921067044,374.21806481612,,7.946563624871899,9.933672370806274,,2825.8475742699416,7.946563624871899,827.4647742520372,3.0,3.290856031128405,3.290856031128405,1.1911477227655982,2004,9.933672370806274
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,4611.0,Fred Kindle,President/CEO,2005-01-01,2008-02-13,2005-12-01,2005,USD,1299.0,0.8047837941970045,1045.414148661909,6.952168400396063,1,2005,2005.0,1,1,2002.0,1,3.0,1,1,1,210418,2005-12-31,USD,22276.0,22442.0,1798.0,3933.0,883.0,103.5,2035.111,17927.36379953247,18060.957909369175,1447.001261966214,3165.2146625768187,710.624090275955,,,0.039639073442269704,0.08011763657428037,0.17655773029269167,9.794083528435023,,67,M,CHE,CHE,96.14550000000001,98.6186,97.49225805274057,1072.3047855721725,18388.499925639502,18525.530406320784,1484.221712439389,3246.6318103582407,728.9030990455954,,6.97756561612034,9.8194807441593,,1072.3047855721725,6.97756561612034,788.6881183130645,5.0,1.3255102040816327,1.3255102040816327,0.281797445005982,2005,9.8194807441593
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,4611.0,Fred Kindle,President/CEO,2005-01-01,2008-02-13,2006-12-01,2006,USD,2689.0,0.7967721591564022,2142.5203359715656,7.669738142128903,0,2005,,0,0,2002.0,1,4.0,1,0,1,210418,2006-12-31,USD,25142.0,24412.0,2472.0,3160.0,1557.0,108.0,2178.974,20032.445625510263,19450.80194932609,1969.6207774346262,2517.800022934231,1240.5742518065183,,,0.06192824755389388,0.10126167458626904,0.12568610293532734,9.905108519334815,,67,M,CHE,CHE,97.1641,98.6186,98.52512609183258,2174.592838353316,20332.32173368504,19741.9711304876,1999.1050563069532,2555.4902823341313,1259.145053669064,,7.684596725241439,9.919967102447352,,2174.592838353316,7.684596725241439,797.1705452359804,8.0,2.687656171914043,2.687656171914043,0.9886695022450765,2006,9.919967102447352
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,4611.0,Fred Kindle,President/CEO,2005-01-01,2008-02-13,2007-12-01,2007,USD,3059.0,0.730571929573404,2234.8195325650427,7.711915757731622,0,2005,,0,0,2002.0,1,5.0,1,0,1,210418,2007-12-31,USD,31001.0,29183.0,3995.0,2138.0,3171.0,112.0,2297.29,22648.460388705098,21320.28062074065,2918.634858645749,1561.9627854279377,2316.6435886772642,19.70921329369481,45277.778607472144,0.10228702299925808,0.13689476750162766,0.06896551724137931,10.027847154592237,10.720571652651373,67,M,CHE,CHE,97.8757,98.6186,99.24669382854755,2251.7823479599015,22820.367626382777,21482.106655937827,2940.7879961097765,1573.8184569919156,2334.22746825134,45621.447789173944,7.7194773362584135,10.035408733119029,10.728133231178164,2251.7823479599015,7.7194773362584135,801.0721207772375,10.0,2.789785681714546,2.789785681714546,1.0259647762929605,2007,10.035408733119029
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,32461.0,Joe Hogan,CEO,2008-09-01,2013-09-15,2008-12-01,2008,USD,592.0,0.683516502206446,404.641769306216,6.003002155456125,1,2008,2008.0,1,1,2002.0,1,6.0,1,0,0,210418,2008-12-31,USD,33181.0,34912.0,5161.0,2009.0,3139.0,119.6,2282.685,22679.761059712084,23862.92812503144,3527.6286678874676,1373.18465293275,2145.558300426034,10.536232491163764,24050.899864092156,0.09460233266025737,0.1478288267644363,0.06054669841174166,10.029228222500128,10.0879276912203,67,M,CHE,CHE,100.2502,98.6186,101.6544546363465,398.05611151401183,22310.64161511221,23474.552306042537,3470.2155262226606,1350.8356892426518,2110.6387399366267,23659.46475255868,5.986592979050717,10.012819046094721,10.071518514814892,398.05611151401183,5.986592979050717,921.3802449742892,9.0,0.4391691394658754,0.5753114580117107,-0.5528437187255958,2008,10.012819046094721
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,32461.0,Joe Hogan,CEO,2008-09-01,2013-09-15,2009-12-01,2009,USD,2709.0,0.7193041849671137,1948.595037075911,7.574863898070165,0,2008,,0,0,2002.0,1,7.0,1,0,0,210418,2009-12-31,USD,34728.0,31795.0,4165.0,2172.0,2884.0,116.1,2289.423,24979.995735537923,22870.27656102938,2995.9019303880286,1562.328689748571,2074.473269445156,13.44543461331097,30782.28724871024,0.08304538124856024,0.130995439534518,0.06254319281271596,10.1258306129645,10.334694714206782,67,M,CHE,CHE,99.7685,98.6186,101.16600722378944,1926.136150421971,24692.084249484757,22606.68102719327,2961.3721175738315,1544.3217861633523,2050.5635503200315,30427.500396073465,7.563271280629052,10.114237995523386,10.32310209676567,1926.136150421971,7.563271280629052,991.9204710696498,9.0,1.9644670050761421,1.9644670050761421,0.6752209642917933,2009,10.114237995523386
422.0,CH0012221716,ABB LTD,Switzerland,Engineering & Machinery,32461.0,Joe Hogan,CEO,2008-09-01,2013-09-15,2010-12-01,2010,USD,5687.0,0.755260092804594,4295.164147779727,8.365245052030248,0,2008,,0,0,2002.0,1,8.0,1,0,0,210418,2010-12-31,USD,36295.0,31589.0,3978.0,1139.0,2551.0,116.5,2283.465,27412.16506834274,23857.91107160432,3004.4246491766753,860.2412457044326,1926.6684967445194,16.6622866543286,38047.74839512646,0.07028516324562611,0.1259299123112476,0.03138173302107728,10.21874217444239,10.546597186640806,67,M,CHE,CHE,100.4552,98.6186,101.86232617376439,4216.6366203464795,26910.994572793294,23421.72220856778,2949.4954239033405,844.5136470150591,1891.4436466509353,37352.12990347556,8.346793079852638,10.20029020226478,10.528145214463198,4216.6366203464795,8.346793079852638,1336.8103642641315,9.0,3.212994350282486,3.212994350282486,1.1672033217389248,2010,10.20029020226478
