Model,ROC-AUC,Avg Precision,Balanced Accuracy,MCC
Logistic Regression,0.5972046146044625,0.1612033845446969,0.5390308062880325,0.07025823480391791
XGBoost,0.5672382099391481,0.14841045769723088,0.5296177738336714,0.03788352718094893
